Slide Number,Content
"PDF-2, Pg1","Part II
Relational Databases – Data as Tables"
"PDF-2, Pg2","Relational Databases – Data as Tables
Relational Databases – Data as Tables
1Relations for Tabular Data
2SQL Data Deﬁnition
3Basic Operations: The Relational Algebra
4SQL as a Query Language
5Manipulation Operations in SQL
Saake Database Concepts Last Edited: April 20, 2022 2–1"
"PDF-2, Pg3","Relational Databases – Data as Tables
Relational Databases – Data as Tables
1Relations for Tabular Data
2SQL Data Deﬁnition
3Basic Operations: The Relational Algebra
4SQL as a Query Language
5Manipulation Operations in SQL
Saake Database Concepts Last Edited: April 20, 2022 2–1"
"PDF-2, Pg4","Relational Databases – Data as Tables
Relational Databases – Data as Tables
1Relations for Tabular Data
2SQL Data Deﬁnition
3Basic Operations: The Relational Algebra
4SQL as a Query Language
5Manipulation Operations in SQL
Saake Database Concepts Last Edited: April 20, 2022 2–1"
"PDF-2, Pg5","Relational Databases – Data as Tables
Relational Databases – Data as Tables
1Relations for Tabular Data
2SQL Data Deﬁnition
3Basic Operations: The Relational Algebra
4SQL as a Query Language
5Manipulation Operations in SQL
Saake Database Concepts Last Edited: April 20, 2022 2–1"
"PDF-2, Pg6","Relational Databases – Data as Tables
Relational Databases – Data as Tables
1Relations for Tabular Data
2SQL Data Deﬁnition
3Basic Operations: The Relational Algebra
4SQL as a Query Language
5Manipulation Operations in SQL
Saake Database Concepts Last Edited: April 20, 2022 2–1"
"PDF-2, Pg7","Relational Databases – Data as Tables
Educational Objective for Today . . .
Basic understanding of the structure of
relational databases
Knowledge of base operations of
relational query languages
Elementary ability to use SQL
Saake Database Concepts Last Edited: April 20, 2022 2–2"
"PDF-2, Pg8","Relational Databases – Data as Tables
Educational Objective for Today . . .
Basic understanding of the structure of
relational databases
Knowledge of base operations of
relational query languages
Elementary ability to use SQL
Saake Database Concepts Last Edited: April 20, 2022 2–2"
"PDF-2, Pg9","Relational Databases – Data as Tables
Educational Objective for Today . . .
Basic understanding of the structure of
relational databases
Knowledge of base operations of
relational query languages
Elementary ability to use SQL
Saake Database Concepts Last Edited: April 20, 2022 2–2"
"PDF-2, Pg10","Relational Databases – Data as Tables Relations for Tabular Data
Relations for Tabular Data
Saake Database Concepts Last Edited: April 20, 2022 2–3"
"PDF-2, Pg11","Relational Databases – Data as Tables Relations for Tabular Data
Relational Model
Conceptually, a database is a set of tables
WINES WineID Name Color Vintage Vineyard
1042 La Rose Grand Cru Red 1998 Château La Rose
2168 Creek Shiraz Red 2003 Creek
3456 Zinfandel Red 2004 Helena
2171 Pinot Noir Red 2001 Creek
3478 Pinot Noir Red 1999 Helena
4711 Riesling Reserve White 1999 Müller
4961 Chardonnay White 2002 Bighorn
ORIGIN Vineyard District Region
Creek Barossa Valley South Australia
Helena Napa Valley California
Château La Rose Saint-Emilion Bordeaux
Château La Pointe Pomerol Bordeaux
Müller Rheingau Hessen
Bighorn Napa Valley California
Table = “Relation”
Saake Database Concepts Last Edited: April 20, 2022 2–4"
"PDF-2, Pg12","Relational Databases – Data as Tables Relations for Tabular Data
Presentation of Relations; Terminology
Bold ﬁelds: relation schema
Further entries in the table: relation
A table row: tuple
A column heading: attribute
An entry: attribute value
A1...An.........RRelation NameAttributeTupleRelationRelation Schema
Saake Database Concepts Last Edited: April 20, 2022 2–5"
"PDF-2, Pg13","Relational Databases – Data as Tables Relations for Tabular Data
Integrity Constraints: Keys
Attributes of a column unambiguously identify stored tuples: key
property
E.g., Vineyard for table ORIGIN
ORIGIN Vineyard District Region
Creek Barossa Valley South Australia
Helena Napa Valley California
Château La Rose Saint-Emilion Bordeaux
Château La Pointe Pomerol Bordeaux
Müller Rheingau Hessen
Bighorn Napa Valley California
Combinations of attributes can also be keys!
Keys can be marked by underlining them
Saake Database Concepts Last Edited: April 20, 2022 2–6"
"PDF-2, Pg14","Relational Databases – Data as Tables Relations for Tabular Data
Integrity Constraints: Foreign Keys
Keys in one table can be used as unambiguous references in
another table (or even in the same table!): Foreign key, referential
integrity
E.g., Vineyard as a reference to ORIGIN
A foreign key is a key in a “foreign” table
Saake Database Concepts Last Edited: April 20, 2022 2–7"
"PDF-2, Pg15","Relational Databases – Data as Tables Relations for Tabular Data
Foreign Keys /2
WINES WineID Name Color Vintage Vineyard!ORIGIN
1042 La Rose Grand Cru Red 1998 Château La Rose
2168 Creek Shiraz Red 2003 Creek
3456 Zinfandel Red 2004 Helena
2171 Pinot Noir Red 2001 Creek
3478 Pinot Noir Red 1999 Helena
4711 Riesling Reserve White 1999 Müller
4961 Chardonnay White 2002 Bighorn
ORIGIN Vineyard District Region
Creek Barossa Valley South Australia
Helena Napa Valley California
Château La Rose Saint-Emilion Bordeaux
Château La Pointe Pomerol Bordeaux
Müller Rheingau Hessen
Bighorn Napa Valley California
Saake Database Concepts Last Edited: April 20, 2022 2–8"
"PDF-2, Pg16","Relational Databases – Data as Tables SQL Data Deﬁnition
SQL Data Deﬁnition
Saake Database Concepts Last Edited: April 20, 2022 2–9"
"PDF-2, Pg17","Relational Databases – Data as Tables SQL Data Deﬁnition
The create table Statement
create table base _relation _name (
column _name 1domain 1[not null ],
...
column _name kdomain k[not null ])
Effect of this command is both
Ito store the relation schema in the data dictionary, and
Ito prepare an “empty base relation” in the database
Saake Database Concepts Last Edited: April 20, 2022 2–10"
"PDF-2, Pg18","Relational Databases – Data as Tables SQL Data Deﬁnition
Possible Domains in SQL
integer (also: integer4 ,int),
smallint (also: integer2 ),
float (p) (also, for short, float ),
decimal (p,q) and numeric (p,q) with qdecimal places,
character (n) (also, for short, char(n), with n= 1 just char) for
character strings of ﬁxed length n,
character varying (n) (also, for short, varchar (n) for
variable-length character strings up to the maximum length n,
bit(n) orbit varying (n) like varchar but for bit strings, and
date,time,timestamp for specifying dates, times and the
combination of date and time
Saake Database Concepts Last Edited: April 20, 2022 2–11"
"PDF-2, Pg19","Relational Databases – Data as Tables SQL Data Deﬁnition
Example for create table
create table WINES (
WineID int not null ,
Name varchar (20) not null ,
Color varchar (10),
Vintage int,
Vineyard varchar (20),
primary key (WineID))
primary key marks column as key attribute
Saake Database Concepts Last Edited: April 20, 2022 2–12"
"PDF-2, Pg20","Relational Databases – Data as Tables SQL Data Deﬁnition
create table with Foreign Key
create table WINES (
WineID int,
Name varchar (20) not null ,
Color varchar (10),
Vintage int,
Vineyard varchar (20),
primary key (WineID),
foreign key (Vineyard)
references ORIGIN(Vineyard))
foreign key marks column as a foreign key
Saake Database Concepts Last Edited: April 20, 2022 2–13"
"PDF-2, Pg21","Relational Databases – Data as Tables SQL Data Deﬁnition
Null Values
not null precludes null values as attribute values for certain
columns
SQL uses null to refer to null values; we use ?
null has the semantics of “ unknown value ”, “value does not
apply ” oder “ value does not exist ”; however, null itself does not
belong to any domain
null can occur in any column, except for key attributes or columns
marked not null
Saake Database Concepts Last Edited: April 20, 2022 2–14"
"PDF-2, Pg22","Relational Databases – Data as Tables SQL Data Deﬁnition
Additional Notes on Data Deﬁnition in SQL
Apart from primary and foreign keys, SQL allows specifying the
following:
IDefault values for attributes using the default clause,
Icreate domain statement to deﬁne custom domains (data types),
and
Icheck clause to specify further local integrity constraints within the
domains, attributes and relation schemata being deﬁned
Saake Database Concepts Last Edited: April 20, 2022 2–15"
"PDF-2, Pg23","Relational Databases – Data as Tables Basic Operations: The Relational Algebra
Basic Operations: The Relational Algebra
Saake Database Concepts Last Edited: April 20, 2022 2–16"
"PDF-2, Pg24","Relational Databases – Data as Tables Basic Operations: The Relational Algebra
Query Operations on Tables
Basic operations on tables that allow computing new result tables
from saved database tables
Operations are combined to form the so-called relational algebra
Mathematics: algebra is deﬁned by a domain and operations
deﬁned on that domain
!for database queries, the contents of the database are the
values (of the domain), operations are functions to compute query
results
Query operations can be freely combined and form an algebra to
perform “calculations on tables” – the so-called relational algebra
Saake Database Concepts Last Edited: April 20, 2022 2–17"
"PDF-2, Pg25","Relational Databases – Data as Tables Basic Operations: The Relational Algebra
Relational Algebra: Overview
a1b2a2b2b2c3b3c4a2b3b4c5a1b2a2b2a2b3c3c3c4JoinSelectionProjection
Saake Database Concepts Last Edited: April 20, 2022 2–18"
"PDF-2, Pg26","Relational Databases – Data as Tables Basic Operations: The Relational Algebra
Selection 
Selection: Choose rows in a table based on a selection predicate
Vintage>2000(WINES )
WineID Name Color Vintage Vineyard
2168 Creek Shiraz Red 2003 Creek
3456 Zinfandel Red 2004 Helena
2171 Pinot Noir Red 2001 Creek
4961 Chardonnay White 2002 Bighorn
Saake Database Concepts Last Edited: April 20, 2022 2–19"
"PDF-2, Pg27","Relational Databases – Data as Tables Basic Operations: The Relational Algebra
Projection 
Projection: Choose columns by specifying a list of attributes
Region (ORIGIN )
Region
South Australia
California
Bordeaux
Hessen
Projection removes duplicate tuples.
Saake Database Concepts Last Edited: April 20, 2022 2–20"
"PDF-2, Pg28","Relational Databases – Data as Tables Basic Operations: The Relational Algebra
Projection 
Projection: Choose columns by specifying a list of attributes
Region (ORIGIN )
Region
South Australia
California
Bordeaux
Hessen
Projection removes duplicate tuples.
Saake Database Concepts Last Edited: April 20, 2022 2–20"
"PDF-2, Pg29","Relational Databases – Data as Tables Basic Operations: The Relational Algebra
Natural Join o n
Join: connects tables via same-named columns, combining two
tuples if they have equal values in those columns
WINESo nORIGIN
WineID Name ::: Vineyard District Region
1042 La Rose Grand Cru ::: Ch. La Rose Saint-Emilion Bordeaux
2168 Creek Shiraz ::: Creek Barossa Valley South Australia
3456 Zinfandel ::: Helena Napa Valley California
2171 Pinot Noir ::: Creek Barossa Valley South Australia
3478 Pinot Noir ::: Helena Napa Valley California
4711 Riesling Reserve ::: Müller Rheingau Hessen
4961 Chardonnay ::: Bighorn Napa Valley California
The vineyard “Château La Pointe” is missing from the result  
tuples that do not ﬁnd a partner ( dangling tuples ), are eliminated
Saake Database Concepts Last Edited: April 20, 2022 2–21"
"PDF-2, Pg30","Relational Databases – Data as Tables Basic Operations: The Relational Algebra
Natural Join o n
Join: connects tables via same-named columns, combining two
tuples if they have equal values in those columns
WINESo nORIGIN
WineID Name ::: Vineyard District Region
1042 La Rose Grand Cru ::: Ch. La Rose Saint-Emilion Bordeaux
2168 Creek Shiraz ::: Creek Barossa Valley South Australia
3456 Zinfandel ::: Helena Napa Valley California
2171 Pinot Noir ::: Creek Barossa Valley South Australia
3478 Pinot Noir ::: Helena Napa Valley California
4711 Riesling Reserve ::: Müller Rheingau Hessen
4961 Chardonnay ::: Bighorn Napa Valley California
The vineyard “Château La Pointe” is missing from the result  
tuples that do not ﬁnd a partner ( dangling tuples ), are eliminated
Saake Database Concepts Last Edited: April 20, 2022 2–21"
"PDF-2, Pg31","Relational Databases – Data as Tables Basic Operations: The Relational Algebra
Combining Operations
Name,Color,Vineyard (Vintage>2000(WINES) o nRegion=’California’ (ORIGIN) )
yields
Name Color Vineyard
Zinfandel Red Helena
Chardonnay White Bighorn
Saake Database Concepts Last Edited: April 20, 2022 2–22"
"PDF-2, Pg32","Relational Databases – Data as Tables Basic Operations: The Relational Algebra
Renaming 
Renaming to adapt attribute names:
WINELIST Name
La Rose Grand Cru
Creek Shiraz
Zinfandel
Pinot Noir
Riesling ReserveRECOMMENDATION Wine
La Rose Grand Cru
Riesling Reserve
Merlot Selection
Sauvignon Blanc
Adapt with:
Name Wine (RECOMMENDATION)
Saake Database Concepts Last Edited: April 20, 2022 2–23"
"PDF-2, Pg33","Relational Databases – Data as Tables Basic Operations: The Relational Algebra
Set Operations
Union r1[r2of two relations r1and r2: collects the tuple sets of
two relations in a common schema
Both relations must have the same set of attributes
WINELIST[Name Wine (RECOMMENDATION )
Name
La Rose Grand Cru
Creek Shiraz
Zinfandel
Pinot Noir
Riesling Reserve
Merlot Selection
Sauvignon Blanc
Saake Database Concepts Last Edited: April 20, 2022 2–24"
"PDF-2, Pg34","Relational Databases – Data as Tables Basic Operations: The Relational Algebra
Set Operations /2
Difference r1"
"PDF-2, Pg35","Relational Databases – Data as Tables Basic Operations: The Relational Algebra
Set Operations /3
Intersection r1\r2: yields all tuples that are present in both
relations
WINELIST\Name Wine (RECOMMENDATION )
yields:
Name
La Rose Grand Cru
Riesling Reserve
Saake Database Concepts Last Edited: April 20, 2022 2–26"
"PDF-2, Pg36","Relational Databases – Data as Tables SQL as a Query Language
SQL as a Query Language
Saake Database Concepts Last Edited: April 20, 2022 2–27"
"PDF-2, Pg37","Relational Databases – Data as Tables SQL as a Query Language
SQL Query as a Standard Language
Query a single table
select Name, Color
from WINES
where Vintage = 2002
SQL has multi-set semantics — SQL does not automatically
suppress duplicate table entries!
Set semantics by using distinct
select distinct Name
from WINES
Saake Database Concepts Last Edited: April 20, 2022 2–28"
"PDF-2, Pg38","Relational Databases – Data as Tables SQL as a Query Language
Joining Tables
Cross join as basic join
select *
from WINES, ORIGIN
Join with operator natural join
select *
from WINES natural join ORIGIN
Alternatively, join by specifying a join condition!
select *
from WINES, ORIGIN
where WINES.Vineyard = ORIGIN.Vineyard
Saake Database Concepts Last Edited: April 20, 2022 2–29"
"PDF-2, Pg39","Relational Databases – Data as Tables SQL as a Query Language
Combining Conditions
Expression in relational algebra
Name,Color,Vineyard (Vintage>2000(WINES) o nRegion=’California’ (ORIGIN) )
Query in SQL
select Name, Color, WINES.Vineyard
from WINES, ORIGIN
where Vintage > 2000 and
Region = ’California’ and
WINES.Vineyard = ORIGIN.Vineyard
Saake Database Concepts Last Edited: April 20, 2022 2–30"
"PDF-2, Pg40","Relational Databases – Data as Tables SQL as a Query Language
Set Operations in SQL
In SQL, union is realized by an extra operator, union
Differences by using nested queries
select *
from WINEMAKER
where Name not in (
select Surname
from CRITIC)
Saake Database Concepts Last Edited: April 20, 2022 2–31"
"PDF-2, Pg41","Relational Databases – Data as Tables Manipulation Operations in SQL
Manipulation Operations in SQL
Saake Database Concepts Last Edited: April 20, 2022 2–32"
"PDF-2, Pg42","Relational Databases – Data as Tables Manipulation Operations in SQL
Manipulation Operations in SQL
insert : Insert one or more tuples into a base relation or view
update : Change one or more tuples in a base relation or view
delete : Delete one or more tuples from a base relation or view
Local and global integrity constraints must be checked
automatically by the system when executing manipulation
operations.
Saake Database Concepts Last Edited: April 20, 2022 2–33"
"PDF-2, Pg43","Relational Databases – Data as Tables Manipulation Operations in SQL
The update Statement
Syntax:
update base _relation
set attribute 1= expression 1
...
attribute n= expression n
[where condition ]
Saake Database Concepts Last Edited: April 20, 2022 2–34"
"PDF-2, Pg44","Relational Databases – Data as Tables Manipulation Operations in SQL
Example for update
WINES WineID Name Color Vintage Vineyard Price
2168 Creek Shiraz Red 2003 Creek 7.99
3456 Zinfandel Red 2004 Helena 5.99
2171 Pinot Noir Red 2001 Creek 10.99
3478 Pinot Noir Red 1999 Helena 19.99
4711 Riesling Reserve White 1999 Müller 14.99
4961 Chardonnay White 2002 Bighorn 9.90
update WINES
set Price = Price *1.10
where Vintage < 2000
Saake Database Concepts Last Edited: April 20, 2022 2–35"
"PDF-2, Pg45","Relational Databases – Data as Tables Manipulation Operations in SQL
Example for update : New Values
WINES WineID Name Color Vintage Vineyard Price
2168 Creek Shiraz Red 2003 Creek 7.99
3456 Zinfandel Red 2004 Helena 5.99
2171 Pinot Noir Red 2001 Creek 10.99
3478 Pinot Noir Red 1999 Helena 21.99
4711 Riesling Reserve White 1999 Müller 16.49
4961 Chardonnay White 2002 Bighorn 9.90
Saake Database Concepts Last Edited: April 20, 2022 2–36"
"PDF-2, Pg46","Relational Databases – Data as Tables Manipulation Operations in SQL
Additional Notes on update
Operations on single tuples can be achieved by using the primary
key:
update WINES
set Price = 7.99
where WineID = 3456
Update the whole relation:
update WINES
set Price = 11
Saake Database Concepts Last Edited: April 20, 2022 2–37"
"PDF-2, Pg47","Relational Databases – Data as Tables Manipulation Operations in SQL
The delete Statement
Syntax:
delete
from base _relation
[where condition ]
Delete a tuple from the WINES relation:
delete from WINES
where WineID = 4711
Saake Database Concepts Last Edited: April 20, 2022 2–38"
"PDF-2, Pg48","Relational Databases – Data as Tables Manipulation Operations in SQL
Additional Notes on delete
Deletion of multiple tuples is the common case:
delete from WINES
where Color = ’White’
Delete the whole relation:
delete from WINES
Saake Database Concepts Last Edited: April 20, 2022 2–39"
"PDF-2, Pg49","Relational Databases – Data as Tables Manipulation Operations in SQL
Additional Notes on delete /2
Deletions can lead to violation of integrity constraints!
Example: Violation of the foreign key property if there are still
wines from this origin:
delete from ORIGIN
where District = ’Hessen’
Saake Database Concepts Last Edited: April 20, 2022 2–40"
"PDF-2, Pg50","Relational Databases – Data as Tables Manipulation Operations in SQL
The insert Statement
Syntax:
insert
into base _relation
[ (attribute 1, ..., attribute n) ]
values (constant 1, ..., constant n)
Optional list of attributes allows for insertion of incomplete tuples
Saake Database Concepts Last Edited: April 20, 2022 2–41"
"PDF-2, Pg51","Relational Databases – Data as Tables Manipulation Operations in SQL
insert Examples
insert into ORIGIN (Vineyard, Region)
values (’Wairau Hills’, ’Marlborough’)
Not all attributes given  Value of missing attribute District will
benull
insert into ORIGIN
values (’Château Lafite’, ’Medoc’, ’Bordeaux’)
Saake Database Concepts Last Edited: April 20, 2022 2–42"
"PDF-2, Pg52","Relational Databases – Data as Tables Manipulation Operations in SQL
Inserting Computed Data
Syntax:
insert
into base _relation
[ (attribute 1, ..., attribute n) ]
SQL-query
Example:
insert into WINES (
select ProdID, ProdName, ’Red’, ProdYear,
’Château Lafite’
from SUPPLIER
where SName = ’Aspri Spirits’ )
Saake Database Concepts Last Edited: April 20, 2022 2–43"
"PDF-2, Pg53","Relational Databases – Data as Tables Manipulation Operations in SQL
Summary
Relational model: database as a set of tables
Integrity constraints in the relational model
Table deﬁnition in SQL
Relational algebra: query operators
Basic concepts of SQL queries and manipulations
Saake Database Concepts Last Edited: April 20, 2022 2–44"
"PDF-2, Pg54","Relational Databases – Data as Tables Manipulation Operations in SQL
Control Questions
What is a relation?
What are the deﬁning properties of the
relational algebra?
How are objects from the real world
represented in a relational database?
How can tables in SQL be deﬁned and
manipulated?
What are integrity constraints?
Saake Database Concepts Last Edited: April 20, 2022 2–45"
"PDF-2, Pg55","Relational Databases – Data as Tables Manipulation Operations in SQL
Control Questions
What is a relation?
What are the deﬁning properties of the
relational algebra?
How are objects from the real world
represented in a relational database?
How can tables in SQL be deﬁned and
manipulated?
What are integrity constraints?
Saake Database Concepts Last Edited: April 20, 2022 2–45"
"PDF-2, Pg56","Relational Databases – Data as Tables Manipulation Operations in SQL
Control Questions
What is a relation?
What are the deﬁning properties of the
relational algebra?
How are objects from the real world
represented in a relational database?
How can tables in SQL be deﬁned and
manipulated?
What are integrity constraints?
Saake Database Concepts Last Edited: April 20, 2022 2–45"
"PDF-2, Pg57","Relational Databases – Data as Tables Manipulation Operations in SQL
Control Questions
What is a relation?
What are the deﬁning properties of the
relational algebra?
How are objects from the real world
represented in a relational database?
How can tables in SQL be deﬁned and
manipulated?
What are integrity constraints?
Saake Database Concepts Last Edited: April 20, 2022 2–45"
"PDF-2, Pg58","Relational Databases – Data as Tables Manipulation Operations in SQL
Control Questions
What is a relation?
What are the deﬁning properties of the
relational algebra?
How are objects from the real world
represented in a relational database?
How can tables in SQL be deﬁned and
manipulated?
What are integrity constraints?
Saake Database Concepts Last Edited: April 20, 2022 2–45"
"PDF-6, Pg1","Part VI
The Relational Query Language SQL"
"PDF-6, Pg2","The Relational Query Language SQL
The Relational Query Language SQL
1The SFW Block in Detail
2Set Operations
3Nested Queries
4Extensions of the SFW Block
5Aggregation and Grouping
6Special Joins, Sorting, Null Values
7Recursion
8History and Summary
Saake Database Concepts Last Edited: April 20, 2022 6–1"
"PDF-6, Pg3","The Relational Query Language SQL
The Relational Query Language SQL
1The SFW Block in Detail
2Set Operations
3Nested Queries
4Extensions of the SFW Block
5Aggregation and Grouping
6Special Joins, Sorting, Null Values
7Recursion
8History and Summary
Saake Database Concepts Last Edited: April 20, 2022 6–1"
"PDF-6, Pg4","The Relational Query Language SQL
The Relational Query Language SQL
1The SFW Block in Detail
2Set Operations
3Nested Queries
4Extensions of the SFW Block
5Aggregation and Grouping
6Special Joins, Sorting, Null Values
7Recursion
8History and Summary
Saake Database Concepts Last Edited: April 20, 2022 6–1"
"PDF-6, Pg5","The Relational Query Language SQL
The Relational Query Language SQL
1The SFW Block in Detail
2Set Operations
3Nested Queries
4Extensions of the SFW Block
5Aggregation and Grouping
6Special Joins, Sorting, Null Values
7Recursion
8History and Summary
Saake Database Concepts Last Edited: April 20, 2022 6–1"
"PDF-6, Pg6","The Relational Query Language SQL
The Relational Query Language SQL
1The SFW Block in Detail
2Set Operations
3Nested Queries
4Extensions of the SFW Block
5Aggregation and Grouping
6Special Joins, Sorting, Null Values
7Recursion
8History and Summary
Saake Database Concepts Last Edited: April 20, 2022 6–1"
"PDF-6, Pg7","The Relational Query Language SQL
The Relational Query Language SQL
1The SFW Block in Detail
2Set Operations
3Nested Queries
4Extensions of the SFW Block
5Aggregation and Grouping
6Special Joins, Sorting, Null Values
7Recursion
8History and Summary
Saake Database Concepts Last Edited: April 20, 2022 6–1"
"PDF-6, Pg8","The Relational Query Language SQL
The Relational Query Language SQL
1The SFW Block in Detail
2Set Operations
3Nested Queries
4Extensions of the SFW Block
5Aggregation and Grouping
6Special Joins, Sorting, Null Values
7Recursion
8History and Summary
Saake Database Concepts Last Edited: April 20, 2022 6–1"
"PDF-6, Pg9","The Relational Query Language SQL
The Relational Query Language SQL
1The SFW Block in Detail
2Set Operations
3Nested Queries
4Extensions of the SFW Block
5Aggregation and Grouping
6Special Joins, Sorting, Null Values
7Recursion
8History and Summary
Saake Database Concepts Last Edited: April 20, 2022 6–1"
"PDF-6, Pg10","The Relational Query Language SQL
Educational Objective for Today . . .
Advanced knowledge of the relational SQL
Knowledge of extensions of the SFW block
Understanding the formulation and
evaluation of recursive queries
Saake Database Concepts Last Edited: April 20, 2022 6–2"
"PDF-6, Pg11","The Relational Query Language SQL
Educational Objective for Today . . .
Advanced knowledge of the relational SQL
Knowledge of extensions of the SFW block
Understanding the formulation and
evaluation of recursive queries
Saake Database Concepts Last Edited: April 20, 2022 6–2"
"PDF-6, Pg12","The Relational Query Language SQL
Educational Objective for Today . . .
Advanced knowledge of the relational SQL
Knowledge of extensions of the SFW block
Understanding the formulation and
evaluation of recursive queries
Saake Database Concepts Last Edited: April 20, 2022 6–2"
"PDF-6, Pg13","The Relational Query Language SQL The SFW Block in Detail
The SFW Block in Detail
Saake Database Concepts Last Edited: April 20, 2022 6–3"
"PDF-6, Pg14","The Relational Query Language SQL The SFW Block in Detail
Structure of an SQL Query
--query
select projection-list
from relations-list
[where condition ]
select
Projection list
Arithmetic operations and aggregation functions
from
Relations to use, optionally aliases (renamings)
where
Selection and join conditions
Nested queries (another SFW block)
Saake Database Concepts Last Edited: April 20, 2022 6–4"
"PDF-6, Pg15","The Relational Query Language SQL The SFW Block in Detail
Selection of Tables: The from Clause
Most simple form:
IEach relation name may be followed by an optional tuple variable
select *
from relations _list
Example query:
select *
from WINES
Saake Database Concepts Last Edited: April 20, 2022 6–5"
"PDF-6, Pg16","The Relational Query Language SQL The SFW Block in Detail
Cartesian Product
With more than one relation, the Cartesian product (a.k.a. cross
product) is computed:
select *
from WINES, PRODUCER
Allcombinations are returned!
Saake Database Concepts Last Edited: April 20, 2022 6–6"
"PDF-6, Pg17","The Relational Query Language SQL The SFW Block in Detail
Tuple Variables for Repeated Access
Using tuple variables, a relation can be accessed several times:
select *
from WINES w1, WINES w2
Columns are then called:
w1.WineID, w1.Name, w1.Color, w1.Vintage, w1.Vineyard
w2.WineID, w2.Name, w2.Color, w2.Vintage, w2.Vineyard
Saake Database Concepts Last Edited: April 20, 2022 6–7"
"PDF-6, Pg18","The Relational Query Language SQL The SFW Block in Detail
Natural Join in SQL92
Early versions of SQL
IStandard that is usually implemented in current systems
IOnly know cross product, no explicit join operator
IJoin achieved with predicate after where
Example for natural join:
select *
from WINES, PRODUCER
where WINES.Vineyard = PRODUCER.Vineyard
Saake Database Concepts Last Edited: April 20, 2022 6–8"
"PDF-6, Pg19","The Relational Query Language SQL The SFW Block in Detail
Joins as Explicit Operators: natural join
Newer SQL versions
IKnow several explicit join operators
ICan be seen as an abbreviation of the detailed query with cross
product
select *
from WINES natural join PRODUCER
Saake Database Concepts Last Edited: April 20, 2022 6–9"
"PDF-6, Pg20","The Relational Query Language SQL The SFW Block in Detail
Joins as Explicit Operators: join
Join with arbitrary predicate:
select *
from WINES join PRODUCER
onWINES.Vineyard = PRODUCER.Vineyard
Equi-joins on columns using the same name with using :
select *
from WINES join PRODUCER
using (Vineyard)
Saake Database Concepts Last Edited: April 20, 2022 6–10"
